Авторы;Идентификатор автора(ов);Название;Год
Marina R., Valeriya T., Olga R., Tatyana F., Alexander R.;"57190947773;57195755008;57195754059;57190950816;57191189005;";Institutional design as a tool of mastering of laboratory economic experiment;2017
Vaskova N., Kirushin S., Malafeev A.;"57195726577;57195722409;56441670100;";Development of a KPI subsystem for a Russian confectionery company: A case study;2017
Molchanov V.V., Vishnyakov B.V., Vizilter Y.V., Vishnyakova O.V., Knyaz V.A.;"57195723418;8705831600;6506127474;57195727715;6507787519;";Pedestrian detection in video surveillance using fully convolutional YOLO neural network;2017
Revich B.A., Kharkova T.L., Podolnaya M.A.;"55941085000;6507634557;57191614477;";Mortality dynamics and life expectancy of population of arctic/subarctic region of the Russian federation in 1999-2014;2017
Yavlinsky G.A.;"6506334438;";The loss of the future;2017
Makarov I., Konoplia O., Polyakov P., Martynov M., Zyuzin P., Gerasimova O., Bodishtianu V.;"57203060623;57191894286;55409073700;57191896688;57190969727;57190962423;57195680056;";Adapting First-Person Shooter video game for playing with virtual reality headsets;2017
Oliynyk A., Oliynyk E., Pyptiuk O., Dzierlak R., Szatkowska M., Uvaysova S., Kozbekova A.;"57190441693;57195678137;57195679245;57204585374;57190818691;57190179032;57195683902;";The human body metabolism process mathematical simulation based on Lotka-Volterra model;2017
Lesnykh V.V., Timofeyeva T.B., Petrov V.S.;"6602914103;57191157903;56654458000;";Problems of the assessment of economic damage caused by power supply interruption;2017
Studenyak I., Izai V., Studenyak V., Bendak A., Kranjec M., Kúš P., Mikula M., Grani B., Roch T., Suleimenov B., Ławicki T., Gurov E.;"6701808069;35848677100;56897273700;57104991700;57195670889;57189392313;8937776100;57195671383;36626256500;55645406800;16316199700;57195671604;";Influence of structural disorder on the optical properties of non-stoichiometric Cu6Ps5I-based thin films;2017
Bortnyk G.G., Vasylkivskyi M.V., Kychak V.M., Wójcik W., KisaŁa P., Klimek J., Junisbekov M., Gurov E.;"6507727721;35868190600;8403983900;7005121594;8353936900;23004538500;57213937247;57195671604;";The spectral method of jitter estimation in fiber optics transmission systems;2017
Timchenko L.I., Pavlov S.V., Kokryatskaya N.I., Poplavska A.A., Kobylyanska I.M., Burdenyuk I.I., Wójcik W., Uvaysova S., Orazbekov Z., Kashaganova G.;"7006204952;7103366036;6506291738;57190444779;57195683347;57195675241;7005121594;57190179032;57132981700;57076803800;";Bio-inspired approach to multistage image processing;2017
Vyatkin S.I., Romanyuk S.A., Pavlov S.V., Nykiforova L.E., Kolimoldayev M., Wójcik W., Gurov E.;"6603031329;56825790400;7103366036;57195675222;56153126500;7005121594;57195671604;";Using lights in a volume-oriented rendering;2017
Makarov I., Bodishtianu V.;"57203060623;57195680056;";Logic of existentialism in fiction;2017
Antonenko Y.A., Mustetsov T.N., Hamdi R.R., MaŁecka-Massalska T., Orshubekov N., Dzierlak R., Uvaysova S.;"57220835889;57195683332;57195683421;36025646900;57193502721;57204585374;57190179032;";Double-compression method for biomedical images;2017
Kupershtein L.M., Martyniuk T.B., Krencin M.D., Kozhemiako A.V., Bezsmertnyi Y., Bezsmertna H., Kolimoldayev M., Smolarz A., Weryska-Bieniasz R., Uvaysova S.;"55645302100;6603117582;57195681810;55645005400;16177637100;57195678589;56153126500;56249263000;57195680275;57190179032;";Neural expert decision support system for stroke diagnosis;2017
Timchenko L.I., Petrovskiy M.S., Kokryatskay N.I., Barylo A.S., Dembitska S.V., Stepanikuk D.S., Suleimenov B., Zyska T., Uvaysova S., Shedreyeva I.;"7006204952;56423705900;6506291738;57194173622;57195674979;57204587392;55645406800;23988174700;57190179032;57194170687;";Algorithm of parallel: Hierarchical transformation and its implementation on FPGA;2017
Zakhlebin I.;"56523322300;";Junet: A Julia package for network research;2017
Rassadin A.G., Savchenko A.V.;"57195612821;42962245900;";Compressing deep convolutional neural networks in visual emotion recognition;2017
Ayzenberg A., Masuda M., Park S., Zeng H.;"54944514700;7402182334;55266291200;56611185300;";Cohomology of toric origami manifolds with acyclic proper faces;2017
Kolosnitsyna M.G., Philippova A.V.;"57194763797;57195592515;";Child benefits and poverty: The case of Russia;2017
Kozyreva P.M., Smirnov A.I.;"6505848584;55574203282;";Business and the population: A lack of trust - Reasons and consequences;2017
Feigin E., Makedonskyi I.;"6701558236;56913381300;";Weyl modules for osp(1, 2) and nonsymmetric MacDonald polynomials;2017
Badryzlova Y., Lyashevskaya O.;"57194709750;37090988800;";Metaphor shifts in constructions: The Russian metaphor corpus;2017
Makarenko B.I.;"54944695000;";Conservatives about conservatives;2017
Del Giudice M., Arslan A., Scuotto V., Caputo F.;"54412034700;36619634600;55960201200;57189995566;";Influences of cognitive dimensions on the collaborative entry mode choice of small- and medium-sized enterprises;2017
Belianin A.;"6603133320;";Economics of lies: Causes, determinants and experimental measurements;2017
Kanovich M., Kirigin T.B., Nigam V., Scedrov A., Talcott C.;"56117921300;57225069898;23390327300;6701808416;7003406044;";Time, computational complexity, and probability in the analysis of distance-bounding protocols;2017
Alexandrov Yu.I., Svarnik O.Ye., Znamenskaya I.I., Arutiunova K.R., Kolbeneva M.G., Krylov A.K., Bulava A.N.;"7005342266;6505906239;56528188100;57195495684;35220038100;53874946600;55769222900;";Alcoholism as a cause of regression in learning & in pro-social behavior;2017
Zirko A.V., Orlov A.B.;"57195490624;7202403705;";Authentic vocalizations: In search of the voice of the inner self;2017
Sirotin V., Arkhipova M.;"57191847058;57191839300;";Information and telecommunication aspect of Russian regions development;2017
Choi W.I., Oberemko O.A.;"56590602900;53869159700;";Indicators of quality of life in the capitals of the Russian federation regions;2017
Avdasheva Svetlana B., Korneeva Dina V.;"7801623030;57188667401;";Why enforcement against excessive pricing in the Russian federation is not sufficiently successful?1;2017
Grinin L.E.;"24331544600;";The Russian revolution and Modernization traps;2017
Pavlova E.B., Romanova T.A.;"57208517407;24779959300;";Normative Power: Some theory aspects and contemporary practice of Russia and the EU;2017
Gasparov B.M.;"16405631100;";Theoretical linguistics as a worldview;2017
Laurinavichyute A.K., Chrabaszcz A.V., Farizova N.O., Tolkacheva V.A., Goy D.V.;"56405575900;56315589300;57195434759;57195435754;57195429583;";The influence of sensorimotor stereotypes on the comprehension of spatial constructions: Evidence from eye-tracking;2017
Slioussar N.A., Petrova T.E., Mikhailovskaya E.V., Cherepovskaia N.V., Prokopenya V.K., Chernova D.A., Chernigovskaya T.V.;"42162211500;38261625800;57195437264;57195434076;57193701822;57208256745;6603435351;";Experimental studies of Grammar: Expressions with literal and non-literal meaning;2017
Maliavski N., Zhuravlova O., Denysiuk O.;"6602634035;57195424461;57195414738;";The rheological anomaly in water-silicate systems: A possible thermodynamic explanation;2017
Gerasimova O., Kikot S., Podolskii V., Zakharyaschev M.;"57190962423;50262220100;23092161300;6602982360;";On the data complexity of ontology-mediated queries with a covering axiom;2017
Zheltukhina M.R., Biryukova E.V., Gerasimova S.A., Repina E.A., Klyoster A.M., Komleva L.A.;"56669701900;57195350492;57191956098;57195344404;57195348879;57195345656;";Modern media advertising: Effective directions of influence in business and political communication;2017
Gurkov I., Morgunov E., Saidov Z.;"6603320551;57113543100;56436556800;";Robustness and flexibility of human resource management practices: The results of a repeated survey of Russian subsidiaries of multinational corporations;2017
Sarracino F., Riillo C.A.F., Mikucka M.;"35225215100;55644811200;12789736800;";Comparability of web and telephone survey modes for the measurement of subjective well-being;2017
Aydogdu A., Burmaoglu S., Saritas O., Cakir S.;"57195309904;53163130500;6506092892;8302756200;";A nanotechnology roadmapping study for the Turkish defense industry;2017
Kocherov S.;"57195329165;";Chilon as a moral lawgiver of Sparta;2017
Kim N.V.;"57195308477;";Woman in the family: Family policy representation in Russian media before and after 2006;2017
Scuotto V., Del Giudice M., Holden N., Mattiacci A.;"55960201200;54412034700;56243629600;24071295800;";Entrepreneurial settings within global family firms: Research perspectives from cross-cultural knowledge management studies;2017
Gurkov I., Morley M.J.;"6603320551;7006568365;";Divinity rules: Towards a revised typology of multinational corporate parenting styles;2017
Lukinskiy V., Lukinskiy V., Merkuryev Y.;"57210102386;56151945100;6505769700;";Supply chains efficiency increasing based on the modelling of logistics operations;2017
Svetunkov S.G., Chanysheva A.F.;"57215978297;57193318427;";Properties of complex dispersion and standard deviation;2017
Podolsky O.A., Pogozhina V.A.;"57195258722;57194659482;";A new approach to diagnosing key cognitive competencies of contemporary university graduates;2017
Lyusin D.V., Sysoeva T.A.;"8655301900;56525098900;";Emotional norms for nouns: The database enrun;2017
Budnitskii O.;"36936489000;";Revolutionary terrorism in the Russian Empire: Recent historiography (2000-2015);2017
Kotov A.A., KotovA T.N.;"57191706856;57193116911;";Context as a factor of categorization strategy switching in learning;2017
Pokatovich E.V., Matyushonok V.D.;"57195241230;57195240012;";Price setting in online prostitution market;2017
Kossova T.V., Kossova E.V., Sheluntsova M.A.;"56427019300;16412933000;57190430888;";Estimating the impact of alcohol consumption on mortality and life expectancy in Russian Regions;2017
Panova A.A.;"57195239675;";Decision making mechanisms at university;2017
Akaev A.A., Korotayev A.V.;"57125020600;7003940480;";Toward forecasting global economic dynamics of the forthcoming years;2017
Mamonov M.Y.;"57195236889;";«Holes» in the capital of failed Russian banks: Old indicators and new hypotheses;2017
Levin M.I., Oshchepkov A.Y., Shilova N.V.;"14626262900;54080231400;57195236768;";Estimating demand for preschools in Russia;2017
Sholomitskaya E.V.;"57194728961;";New Capital investment vs. M & A: Evidence from Russian public corporates;2017
Korneychuk B.V.;"56868676800;";Optimization of food basket: Interconnection of medical and economic factors;2017
Chirkova E.V., Valieva D.A., Menshikov Y.S., Nosova A.O.;"57195238875;57195239921;57195236516;57195238881;";Debt restructuring of the Russian metallurgical companies caused by the crisis of 2008;2017
Shmatko N., Volkova G.;"6507223957;57201362725;";Service or devotion? Motivation patterns of Russian Researchers;2017
Lukinskiy V., Lukinskiy V., Shulzhenko T.;"57210102386;56151945100;55822511200;";Logistic Systems Efficiency Increase Based on the Supply Chains Integration;2017
Lukinskiy V., Lukinskiy V.;"57210102386;56151945100;";Evaluation of Stock Management Strategies Reliability at Dependent Demand;2017
Kudinov A.V., Shapirovsky I.B.;"55117642700;8716184900;";Partitioning Kripke frames of finite height;2017
Sánchez L.C., Barajas Á., Sánchez-Fernández P.;"57190289343;35572693800;36742548700;";Does the agency theory play football? [¿juega al fútbol la teoría de la agencia?];2017
Kuzmicheva T.E., Muratov A.V., Kuzmichev S.A., Sadakov A.V., Aleshchenko Yu.A., Vlasenko V.A., Martovitsky V.P., Pervakov K.S., Eltsev Yu.F., Pudalov V.M.;"55600892300;54898281200;8615193900;26424763900;6603798453;55505836600;6602337717;50361899800;7004204078;7004386882;";On the structure of the superconducting order parameter in high-temperature Fe-based superconductors;2017
Zakhariev I., Aksenov S.;"57200657654;15080694300;";Influence of material rheological characteristics on the dome thickness during free bulging test;2017
Valova E.A., Slioussar N.A.;"57194506092;42162211500;";Syntactic properties of the Russian enclitic ze: Corpus-based and experimental approaches;2017
Apresjan V.Ju.;"55965625400;";Double semantic roles in direct and metaphorical meanings of polysemous verbs;2017
Bakharev F., Matveenko S., Nazarov S.;"13006001900;56646250400;35616414800;";Examples of plentiful discrete spectra in infinite spatial cruciform quantum waveguides;2017
Brilliantov N.V., Budkov Y.A., Seidel C.;"7003803537;46861146000;7103092567;";Theoretical and numerical analysis of nano-actuators based on grafted polyelectrolytes in an electric field;2017
Soboleva N.;"57099071400;";Perceptions of gender equality in post-crisis Europe;2017
Mersianova I.V., Benevolenski V.B.;"57164828200;56823508000;";NPOS as social services providers: Organizational weaknesses verification;2017
Kalinin A.M.;"55609338000;";Realization of program-target instruments at the federal level: Analysis, problems and prospects;2017
Dmitrieva N.E., Styrin E.M., Yastrebova E.V.;"56158034600;53865533400;57194830704;";Social services quality: Independent evaluation by recipients;2017
Knutov A.V., Plaksin S.M., Chaplinsky A.V.;"57191745958;57191169408;57191170906;";Permit system in the Russian Federation;2017
Rudnik B.L., Kushtanina E.V., Romanova V.V.;"57189497921;57191172621;57194728495;";Involvement of NPOS in providing social sphere services;2017
Voronina M.A., Koldanov P.A.;"57194796941;55630761900;";Stability testing of stock returns connections;2017
Bychkov I., Batsyn M., Pardalos P.M.;"55842563400;37111907600;7005330875;";Heuristic for maximizing grouping efficiency in the cell formation problem;2017
Semenov D.P., Koldanov P.A.;"57194799371;55630761900;";Homogeneity hypothesis testing for degree distribution in the market graph;2017
Rubchinsky A.;"7801333355;";A new approach to network decomposition problems;2017
Shcherbatenko M., Lobanov Y., Semenov A., Kovalyuk V., Korneev A., Ozhegov R., Kaurova N., Voronov B., Goltsman G.;"56095501200;9333900400;56879243200;35778256000;7006297830;8309839000;6507396101;57200973381;7006771637;";Coherent detection of weak signals with superconducting nanowire single photon detector at the telecommunication wavelength;2017
Makarov I., Bulanov O., Zhukov L.E.;"57203060623;57194797187;56962754300;";Co-author recommender system;2017
Aleskerov F., Meshcheryakova N., Rezyapova A., Shvydun S.;"7003947309;57204495455;57192668502;55862150500;";Network analysis of international migration;2017
Koldanov P.A., Larushina J.D.;"55630761900;57194798601;";Testing hypothesis on degree distribution in the market graph;2017
Kolesnik N., Kuskova V., Tretyak O.;"44661508300;25224661800;35076800100;";Application of network analysis for FMCG distribution channels;2017
Grechikhin I.S.;"56233235500;";Iterative local search heuristic for truck and trailer routing problem;2017
Aleskerov F., Meshcheryakova N., Shvydun S.;"7003947309;57204495455;55862150500;";Power in network structures;2017
Maltseva D., Karpov I.;"57195623037;56005507700;";Network studies in Russia: From articles to the structure of a research community;2017
Kurmukov A., Dodonova Y., Zhukov L.E.;"57193615065;36631699700;56962754300;";Machine learning application to human brain network studies: A kernel approach;2017
Mersianova I.V., Vakulenko E.S., Ivanova N.V.;"57164828200;56538480700;57193859208;";Emigration intentions of Russians and their civic participation;2017
Titkova V.V., Ivaniushina V.A.;"57194766122;6603652997;";Antipathy among adolescents: What leads to its occurrence;2017
Mescheryakova E.I., Nesterenko L.V.;"57194718254;57194714944;";Domain-independent classification of automatic speech recognition texts;2017
Rudnik B.L., Romanova V.V.;"57189497921;57194728495;";The budgetary financing of socio-cultural sphere;2017
Pisarevskaya D., Ananyeva M., Kobozeva M., Nasedkin A., Nikiforova S., Pavlova I., Shelepov A.;"57194718044;57194720509;57194719463;57194718132;57211181048;57194720858;57213247210;";Towards building a discourseannotated corpus of Russian;2017
Roitberg A.M., Khachko D.V.;"56291753500;57194479757;";Bridging anaphora resolution for the Russian language;2017
Vinogradova O.I., Lyashevskaya O.N., Panteleeva I.M.;"57194512012;37090988800;57194716280;";Multi-level student essay feedback in a learner corpus;2017
Chukalina M., Ingacheva A., Buzmakov A., Polyakov I., Gladkov A., Yakimchuk I., Nikolaev D.;"6603013820;56766215000;8624310500;57194722300;56543076800;25655491400;36859920000;";Automatic beam hardening correction for ct reconstruction;2017
Simachev Y.V., Kuzyk M.G., Zudin N.N.;"36126955200;55904276800;57194721400;";The impact of public funding and tax incentives on Russian firms: Additionality effects evaluation;2017
Fenogenova A.S., Karpov I.A., Kazorin V.I., Lebedev I.V.;"57194041480;56005507700;57194039605;57194716340;";Comparative analysis of Anglicism distribution in Russian social network texts;2017
Kozlova A., Semenova M.;"57194720440;24823591100;";Foreign banks and market discipline in the Russian market for personal deposits: What's in the name?;2017
Skorinkin D.A.;"56291668800;";Extracting character networks to explore literary plot dynamics;2017
Alekseev A., Nikolenko S.;"57209096106;13608710100;";Word embeddings for user profiling in online social networks;2017
Fomichov V.A.;"6602185149;";SK-languages as a powerful and flexible semantic formalism for the systems of cross-lingual intelligent information access;2017
Sorokin A., Shavrina T., Lyashevskaya O., Bocharov V., Alexeeva S., Droganova K., Fenogenova A., Granovsky D.;"35554013900;57194513345;37090988800;56292209300;56292079100;57194721995;57194041480;56291715000;";Morphorueval-2017: An evaluation track for the automatic morphological analysis methods for Russian;2017
Samorodskaya I.V., Andreev E.M., Zaratyants O.V., Kosivtsova O.V., Kakorina E.P.;"56165905100;7005279598;57205709600;57194717608;6603596338;";Cerebrovascular disease mortality rates in the population over 50 years of age in Russia and the USA over a 15-year period;2017
Lopukhin K.A., Iomdin B.L., Lopukhina A.A.;"57034206500;36113739700;56292060700;";Word sense induction for Russian: Deep study and comparison with dictionaries;2017
Veselov D.A.;"57194386456;";Theory of economic growth: New methods and opportunities;2017
Panicheva P.V., Badryzlova Yu.G.;"23393180900;57194709750;";Distributional semantic features in Russian verbal metaphor identification;2017
Sholomitskaya E.;"57194728961;";Influence of Key Macroeconomic Shocks on Russian Investments;2017
Toldova S., Ionov M.;"56147544600;57192677241;";Coreference resolution for Russian: The impact of semantic features;2017
Kopytok V., Ratnikova T.;"6504443029;57194725782;";The impact of the inflation targeting policy on the foreign direct investments dynamics;2017
Smirnov I., Kuznetsova R., Kopotev M., Khazov A., Lyashevskaya O., Ivanova L., Kutuzov A.;"56712356800;57189340291;50262086900;57194725902;37090988800;57194722651;57194718597;";Evaluation tracks on plagiarism detection algorithms for the Russian language;2017
Kichko S., Ushchev P.;"55941353500;56003608300;";The consequences of opening trade between developed and developing countries;2017
Schwinn T., Albert G., Kataev D., Kildyushov O.;"6603517154;7004875399;56177681100;57191890735;";Old concepts - New problems: Max Weber's sociology in the light of current challenges;2017
Edelman R., Bondarenko S., Kildyushov O.;"56111186700;57194708436;57191890735;";Sport helps to answer fundamental questions: Interview with robert edelman;2017
Apresjan V.Ju., Shmelev A.D.;"55965625400;57194493536;";"""Xeno"" markers in the light of the data of parallel corpora and contemporary mass media: The case of the Russian word jakoby";2017
Toldova S.Yu., Mukhanova R.V.;"56147544600;57194700492;";Multiple prenominal adjectives ordering in Russian: A corpus study;2017
Piperski A.Ch.;"56292174100;";Semantic halo of a meter: A keyword-based approach;2017
Letuchiy A.B.;"55823575400;";'Tensed' and 'non-tensed' predicatives in Russian;2017
Malafeev A.Y., Orekhova E.A.;"56441670100;57194703145;";Tolerance in Russian and in English: A corpus study;2017
Vasilieva N., Maiboroda A., Yasaveev I.;"57191664684;57194703579;57191885742;";"""Why do they go to ISIL?"": A discourse analysis of young dagestanians' narratives";2017
Omel'chenko E., Poliakov S.;"56908457800;57192831486;";The concept of cultural scene as theoretical perspective and the tool of urban communities analysis;2017
Knyazev S.V., Utesheva A.S.;"57033876700;57194697780;";Coarticulation of nasals as a cue for detecting prosodic breaks and rule order in standard Russian;2017
Nikitin Y.Y.;"57205496967;";Tests based on characterizations, and their efficiencies: A survey;2017
Slioussar N.A., Alexeeva S.V.;"42162211500;56292079100;";Substitution neighbors in the study of lexical access;2017
Borisenkova A.;"36714783900;";Le flâneur comme lecteur de la ville contemporaine;2017
Burov A.A., Guerman A.D., Kosenko I.I., Nikonov V.I.;"14120866400;6508339570;6602748639;56224480800;";On the gravity of dumbbell-like bodies represented by a pair of intersecting balls;2017
Skiperskikh A.;"57194702093;";Fiers vs Truffaldino: Sketches of Russian and European culture;2017
Apresjan V.Ju.;"55965625400;";Positive and negative polarity: Semantic underpinnings;2017
Bergelson M.B., Khudyakova M.V.;"9943127000;57034149900;";Interaction and empathy as elements of narrative strategies in the Russian clips corpus;2017
Natanzon S., Pratoussevitch A.;"6603742412;8430952900;";Moduli spaces of higher spin Klein surfaces;2017
Savchenko A.V.;"42962245900;";Maximum-likelihood dissimilarities in image recognition with deep neural networks;2017
Tareva E.G., Schepilova A.V., Tarev B.V.;"57194697882;57194704281;57194695122;";Intercultural content of a foreign language textbooks: Concept, texts, practices;2017
Badryzlova Yu.G.;"57194709750;";"A corpus-based study of factors and models metaphoricity; Evidence from Russian verbs";2017
Borisov A.V., Kazakov A.O., Pivovarova E.N.;"56681444200;57192956902;56105346800;";Regular and chaotic dynamics in the rubber model of a Chaplygin top;2017
Kutuzov A., Kuzmenko E.;"57194718597;56878851700;";Building web-interfaces for vector semantic models with the webvectors toolkit;2017
Galitsky B., Ilvovsky D.;"6603420071;55967196200;";Chatbot with a discourse structure-driven dialogue management;2017
Kolesnikov A.L., Budkov Y.A., Basharova E.A., Kiselev M.G.;"56258168600;46861146000;57194688600;7005285779;";Statistical theory of polarizable target compound impregnation into a polymer coil under the influence of an electric field;2017
Litvinova O., Litvinova T., Seredin P., Lyell J.;"56878809500;56638057700;8404521100;57194683636;";Deception detection in Russian texts;2017
Shcherbatenko M., Lobanov Y., Kovalyuk V., Korneev A., Gol'Tsman G.N.;"56095501200;9333900400;35778256000;7006297830;7006771637;";Photon counting detector as a mixer with picowatt local oscillator power requirement;2017
Zakharov A., Kapuza A.;"56045167200;57194633131;";Parental teaching-to-read practices and children's reading literacy in Russia according to PIRLS2011;2017
Antipkina I., Kuznetsova M., Kardanova E.;"57194635113;57193860934;56556956700;";What factors help and hinder children's progress in reading?;2017
Morozkina A., Sabelnikova E.;"57194635954;56610174800;";Education systems and Multilateral Development Banks: International practices and perspectives;2017
Medianik E.;"57194641270;";Joint Universities as a tool for promoting the national interests of Russia and China;2017
Lisyutkin M.;"57189732625;";On possible reasons for university resource base decline;2017
Sivak E., Glazkov K.;"55861772000;57191475638;";Life outside the classroom: Everyday mobility of school students;2017
Polivanova K., Bochaver A., Nisskaya A.;"57015286600;25622959300;57192267008;";Fifth-graders moving into adulthood: The 1960s vs the 2010s;2017
Leontiev D., Lebedeva A., Kostenko V.;"16202978600;57194632184;57191710196;";Pathways of personality development: Following Lev Vygotsky's guidelines;2017
Lyubimov L.;"57194632816;";Learning standards must be scrupulously implemented, not improved: Reflections on the End of Compulsory Education? By Oleg Lebedev;2017
Polivanova K., Smirnov I.;"57015286600;57193850740;";What's in my profile: Vkontakte data as a tool for studying the interests of Modern teenagers;2017
Lavrov S., Aleksanyan A.;"57194641716;57194639344;";Case study: The transnationalization of Russian oil and gas companies;2017
Poldin O., Matveeva N., Sterligov I., Yudkevich M.;"55787103800;57194632397;57191955079;25924090500;";Publication activities of Russian Universities: The effects of project 5-100;2017
Grapiglia G.N., Nesterov Yu.;"56126310300;7003398323;";Regularized Newton methods for minimizing functions with Hölder continuous Hessians;2017
Sozinova I.M., Sozinov A.A., Laukka S.J., Alexandrov Y.I.;"57194593031;36891272000;6603181487;7005342266;";The prerequisites of prosocial behavior in human ontogeny;2017
Ulanovsky A.M.;"26639889200;";The multidimensional reality of conversation: Approaches and research;2017
Lander Y.;"25637466200;";Nominal complex in West Circassian: Between morphology and syntax;2017
Kulik E., Kidimova K.;"57194565146;57194576160;";Integrating MOOCs in university curriculum: HSE university experience;2017
Tolstykh N.N., Uglanova I.L.;"25640468400;57194570914;";Adolescence: Identity and subjectness;2017
Popovich L.D., Shestakova M.V., Potapchik E.G., Mayorov A.Y., Vikulova O.K.;"55323242400;7004195530;6508167164;8571143500;8697054500;";Is it beneficial to the state to provide insulin-treated diabetic patients with public funds for selfmonitoring blood glucose?;2017
Berberyan A.S., Berberyan E.S.;"57189602853;57194567400;";Ethnic psychological aspects of sense-of-Iife and value orientations in students;2017
Veretennikova M., Kolokoltsov V.;"57194559770;6602177508;";The fractional Hamilton-Jacobi-Bellman equation;2017
Nikitenko Z.N., Yanchenko V.D., Nikitenko E.A., Deykina A.D.;"57194557509;57194553591;57194557668;57194553633;";Pupils' creative self-realization in the process of learning Russian as a foreign language;2017
Kuzminov I.F., Thurner T., Chulok A.;"56502223900;23978154900;56669650700;";The technology foresight system of the Russian Federation: a systemic view;2017
Sungurov A.Y., Karyagin M.E.;"55360914300;57192380582;";Russian expert community and government: Main forms of interaction;2017
Kopnova Y.;"57194524583;";A statistical analysis of the social and environmental risks of the international trade in virtual water;2017
Savina V.S., Sinelnikova V.N., Avanesova A.A., Lapa A.M., Strutinskaya T.A.;"55776591200;57194523357;55776728500;57194517287;57194525932;";International clinical trials: Policy, legal and ethical implications;2017
Kostenko V.V.;"56527999600;";Gender attitudes of Muslim migrants in Western Europe: Multilevel non-hierarchical analysis;2017
Mkrtchyan N.V.;"54788001400;";The youth migration from small towns in Russia;2017
Mishchenko A.V.;"57194500849;";Management models of current assets in a trading company;2017
Kazantinova G.M., Fedoryachenko S.N., Korobova O.V., Kumantseva A.A.;"55869172500;57194108527;57194470064;57194470934;";Students exempted frrom academic physical education: Physical working capacity rating study;2017
Rudchenko V., Martín J.-C., Sánchez-Rebull M.-V.;"57194431233;55727554800;54406113300;";"Bibliometric analysis over research on ""client satisfaction""";2017
Bereznoy A.;"57190182908;";Corporate foresight in multinational business strategies;2017
Kiriya I.;"57202616795;";The Impact of International Sanctions on Russia's Media Economy;2017
Bredikhin S., Linton J., Matoszko T.;"57110106500;7005943883;57194423883;";Why and how the value of science-based firms violates financial theory: Implications for policy and governance;2017
Plaksin S., Abdrakhmanova G., Kovaleva G.;"57191169408;55862062000;7005879054;";Approaches to defining and measuring Russia's internet economy;2017
Belianin A.V.;"6603133320;";Homo oeconomicus and homo postoeconomicus;2017
Vishlenkova E.;"55580882300;";A barometer or a lighthouse: In memory of trude maurer (1955–2017);2017
Shulgin A.G.;"57194386183;";Two-dimensional monetary policy shocks in DSGE-model estimated for Russia;2017
Achkasov Yu.K., Pilnik N.P.;"57194382561;56010257000;";Income tax effect on economic performance in terms of endogenous choice between labor and enterprise market;2017
Zaytsev A., Belyakov V., Beresnev P., Filatov V., Makarov V., Tyugin D., Zeziulin D., Pelinovsky E., Yalciner A., Yalciner B., Oshmarina O., Kurkin A.;"36866694500;7103252617;57193714189;57193709006;55871122000;55838619400;56580269500;7004951110;6603047851;57194392673;56966586700;7003446660;";Coastal monitoring of the Okhotsk sea using an autonomous mobile robot;2017
Semyonov A.;"56184821200;";“Global history is more than the history of globalization”: Interview with sebastian conrad;2017
Lyashok V.Yu., Roshchin S.Yu.;"57194379577;57038772900;";Young and older workers in the Russian labor market: Are they competitors?;2017
Panov P.A.;"57220387442;";Nash equilibria in the the facility location problem with externalities;2017
Mamonov M.E.;"57195236889;";The regulation of Banks' access to credit market under imperfect competition: The effects on banking system stability estimated;2017
Ozhegov E.M.;"55880875200;";Heterogeneous preferences of Russian residential mortgage borrowers;2017
Karliuk M.;"56340076900;";Russian legal order and the legal order of the eurasian economic union: An uneasy relationship;2017
Gerasimova E.;"57160811900;";Collective labor disputes and strikes in Russia: The impact of judicial precedents and enforcement;2017
Obydenkova A.V., Salahodjaev R.;"23486515000;56507435000;";Climate change policies: The role of democracy and social cognitive capital;2017
Heuer S., Ivanova M.V., Hallowell B.;"18835471600;57205859404;6701685000;";More than the verbal stimulus matters: Visual attention in language assessment for people with aphasia using multiple-choice image displays;2017
Tomas E., Demuth K., Petocz P.;"56526562000;55918708300;6603910170;";Sthe role of frequency in learning morphophonological alternations: Implications for children with specific language impairment;2017
Cheltsov I., Park J., Won J.;"6603174801;8659596300;36599529400;";Cylinders in del Pezzo surfaces;2017
Ismagilov R.S., Filippova L.E.;"7005347594;57194267263;";Probabilistic error estimation in approximate integration formulas for multivariable functions;2017
Lovakov A.V., Agadullina E.R., Schaufeli W.B.;"57188984836;55948104400;57203196050;";Psychometric properties of the Russian version of the Utrecht work engagement scale (UWES-9);2017
Radina N.K., Koskina M.V.;"6505769104;57194204250;";"Power, attraction, and reference in macrolevel social relations: An analysis of closed groups and closed societies based on the psychology of the ""soviet person"" and the ""post-soviet person""";2017
Fedotova V.A.;"57194205801;";Age-related differences in values and economic attitudes among Russians;2017
Konakov V., Menozzi S.;"7003450051;7801636137;";Weak error for the euler scheme approximation of diffusions with non-smooth coefficients;2017
Shadrikov V.D., Kurginyan S.S.;"55571101400;57193311089;";Propositions toward the development of a psychological theory of thought;2017
Nikolaev D., Buzmakov A., Chukalina M., Ivan Y., Gladkov A., Ingacheva A.;"36859920000;8624310500;6603013820;57194197041;56543076800;56766215000;";CT image quality assessment based on morphometric analysis of artifacts;2017
Savinskaya O.B., Dudchenko O.N., Mytil A.V.;"56626130000;57193833038;26644440300;";The methodical audit of independent quality evaluation in social sphere: Possibilities and limitations;2017
